Year,Province,Species Group,Species,Quantity (kgs),Value (CAD)
1990,Atlantic,Shellfish,Clams / quahaug,"22,450,009","18,495,709"
1990,Atlantic,Shellfish,"Crab, Other","864,815","321,713"
1990,Atlantic,Shellfish,"Crab, Queen","26,177,016","49,576,647"
1990,Atlantic,Shellfish,Lobster,"47,852,924","232,204,241"
1990,Atlantic,Shellfish,Other shellfish,"9,121,513","8,450,173"
1990,Atlantic,Shellfish,Scallop,"83,329,325","87,035,291"
1990,Atlantic,Shellfish,Sea cucumber,0,0
1990,Atlantic,Shellfish,Sea urchin,"109,156","99,933"
1990,Atlantic,Shellfish,Shrimp,"37,262,575","75,718,213"
1990,Atlantic,Shellfish,Total shellfish,"227,167,333","471,901,920"
1990,Atlantic,Pelagics,Alewife,"7,003,491","1,791,344"
1990,Atlantic,Pelagics,Capelin,"127,419,404","20,273,128"
1990,Atlantic,Pelagics,Eel,"877,718","3,641,112"
1990,Atlantic,Pelagics,Elvers,0,0
1990,Atlantic,Pelagics,Herring,"260,272,586","37,614,775"
1990,Atlantic,Pelagics,Mackerel,"21,789,434","6,209,451"
1990,Atlantic,Pelagics,Other pelagic/finfish,"1,622,501","1,780,224"
1990,Atlantic,Pelagics,Salmon,"687,776","3,177,064"
1990,Atlantic,Pelagics,Shark,"123,474","174,371"
1990,Atlantic,Pelagics,Silversides,"81,853","27,068"
1990,Atlantic,Pelagics,Swordfish,"911,961","5,269,020"
1990,Atlantic,Pelagics,Total pelagics,"421,260,564","87,106,813"
1990,Atlantic,Pelagics,Tuna,"470,366","7,149,258"
1990,Atlantic,Other,Marine plants,"24,794,429","2,038,907"
1990,Atlantic,Other,Miscellaneous,"53,318","849,272"
1990,Atlantic,Other,Total other,"24,847,747","2,888,179"
1990,Atlantic,Groundfish,Cod,"395,299,460","243,936,789"
1990,Atlantic,Groundfish,Flatfishes,"63,663,677","36,281,123"
1990,Atlantic,Groundfish,Greenland turbot,"19,601,518","16,868,142"
1990,Atlantic,Groundfish,Haddock,"22,147,588","24,214,508"
1990,Atlantic,Groundfish,Hake,"15,186,892","7,607,407"
1990,Atlantic,Groundfish,Halibut,"2,415,495","10,821,620"
1990,Atlantic,Groundfish,Other groundfish,"10,601,779","6,624,282"
1990,Atlantic,Groundfish,Pollock,"38,385,273","20,218,482"
1990,Atlantic,Groundfish,Redfish spp.,"81,425,307","22,694,569"
1990,Atlantic,Groundfish,Skate,"124,933","7,581"
1990,Atlantic,Groundfish,Total groundfish,"648,851,922","389,274,503"
1990,Atlantic,Grand total,Grand total,"1,322,127,566","951,171,415"
1990,British Columbia,Shellfish,Clams / quahaug,"6,600,000","15,999,000"
1990,British Columbia,Shellfish,"Crab, Other","2,167,700","9,311,000"
1990,British Columbia,Shellfish,"Crab, Queen",0,0
1990,British Columbia,Shellfish,Lobster,0,0
1990,British Columbia,Shellfish,Other shellfish,"1,756,300","4,081,000"
1990,British Columbia,Shellfish,Scallop,"68,700","317,000"
1990,British Columbia,Shellfish,Sea cucumber,0,0
1990,British Columbia,Shellfish,Sea urchin,"3,639,300","2,901,000"
1990,British Columbia,Shellfish,Shrimp,"2,700,300","9,643,000"
1990,British Columbia,Shellfish,Total shellfish,"16,932,300","42,252,000"
